ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y,
12416,9965350,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,18/04/2025,MONTE MORELOS PONIENTE,SIN REGISTRO,SAN LUCAS XOCHIMANCA,XOCHIMILCO,XO-1,-99.11271011,19.24240019,
12417,9965362,CJM-TLP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,04/04/2025,SIN REGISTRO,SIN REGISTRO,ARVIDE,ALVARO OBREGON,AO-1,-99.20443509,19.38143684,
12418,9965368,UAT-IZC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,06/05/2025,ORIENTE 249,SUR 20,AGRÍCOLA ORIENTAL,IZTACALCO,IZC-3,-99.06794938,19.39106931,
12419,9965373,IZP-6,BAJO IMPACTO,DELITO DE BAJO IMPACTO,LESIONES INTENCIONALES,07/05/2025,CALZADA IGNACIO ZARAGOZA,NO SE ESPECIFICA,UNIDAD EJÉRCITO CONSTITUCIONALISTA,IZTAPALAPA,IZP-6,-99.04639363,19.39126462,
12420,9965388,CJM-IZP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,04/04/2025,CUAUHTEMOC,SIN REGISTRO,SAN MATEO XALPA,XOCHIMILCO,XO-1,-99.12125854,19.23453647,
12421,9965394,UAT-AZ-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,08/05/2025,MANUEL SALAZAR,NO SE ESPECIFICA,SAN JUAN TLIHUACA,AZCAPOTZALCO,AZ-2,-99.20725408,19.49194594,
12422,9965397,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,08/05/2025,INTERIOR AVENIDA PATRIOTISMO,SIN REGISTRO,SAN PEDRO DE LOS PINOS,BENITO JUAREZ,BJ-1,-99.18271901,19.39394707,
12423,9965400,E,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,15/04/2025,CHEMAX,SUDZAL,PEDREGAL DE SAN NICOLÁS 1A SECCIÓN,TLALPAN,TLP-1,-99.23730244,19.29099247,
12424,9965407,AEJPA,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA,03/05/2025,HIDALGO                    NO ESTA MARCADA,AVENIDA 11 Y CALLE ESPAÑA                  NO ESTA MARCADA,SAN NICOLÁS TOLENTINO,IZTAPALAPA,IZP-7,-99.08669014,19.31414678,
12425,9965409,COY-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,08/05/2025,CALZADA TAXQUEÑA,EJIDO,SAN FRANCISCO CULHUACAN,COYOACAN,COY-3,-99.12132122,19.3367845,
12426,9965420,UAT-IZC-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,07/05/2025,SUR 187,SIN REGISTRO,GABRIEL RAMOS MILLÁN SECCIÓN BRAMADERO,IZTACALCO,IZC-2,-99.09149267,19.3911799,
12427,9965426,UAT-AO-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,08/05/2025,SEIS,NO SE ESPECIFICA,PUERTA GRANDE REACOMODO,ALVARO OBREGON,AO-2,-99.230812,19.35538522,
12428,9965424,UAT-BJ-3,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,07/05/2025,DELFIN MADRIGAL,NO SE ESPECIFICA,PEDREGAL DE SANTO DOMINGO,COYOACAN,COY-1,-99.17248778,19.329446,
12429,9965432,GAP4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,05/05/2025,OLIVAR,NO SE ESPECIFICA,ALFONSO XIII,ALVARO OBREGON,AO-1,-99.19902674,19.37691426,
12430,9965437,UAT-XO-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,30/04/2025,CERRADA TARAI,NO SE ESPECIFICA,SAN MARCOS NORTE,XOCHIMILCO,XO-1,-99.11194897,19.26839889,
12431,9965439,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,07/05/2025,ROSA,SIN REGISTRO,SAN MIGUEL TEOTONGO,IZTAPALAPA,IZP-10,-98.99157455,19.34707584,
12432,9965442,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,21/04/2025,PUERTO TUXPAN,SIN REGISTRO,AMPLIACIÓN CASAS ALEMÁN,GUSTAVO A MADERO,GAM-5,-99.08169799,19.47955067,
